timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2023-04-26T00:00:00+00:00,XAUUSD,SELL,1985.33,5.229945,Death cross: fast SMA crossed below slow SMA,raw,WIN,381.11
2023-05-05T00:00:00+00:00,XAUUSD,BUY,2017.78,4.95595,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-05-19T00:00:00+00:00,XAUUSD,SELL,1978.33,4.95595,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-197.49
2023-07-14T00:00:00+00:00,XAUUSD,BUY,1960.47,5.100815,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-08-04T00:00:00+00:00,XAUUSD,SELL,1939.23,5.100815,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-110.33
2023-08-31T00:00:00+00:00,XAUUSD,BUY,1938.57,5.158445,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-09-18T00:00:00+00:00,XAUUSD,SELL,1931.13,5.158445,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-40.36
2023-10-18T00:00:00+00:00,XAUUSD,BUY,1955.67,5.113336,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-11-13T00:00:00+00:00,XAUUSD,SELL,1945.13,5.113336,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-55.89
2023-11-24T00:00:00+00:00,XAUUSD,BUY,2002.58,4.99357,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2023-12-14T00:00:00+00:00,XAUUSD,SELL,2029.82,4.99357,Death cross: fast SMA crossed below slow SMA,raw,WIN,134.05
2023-12-26T00:00:00+00:00,XAUUSD,BUY,2058.58,4.857716,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-01-12T00:00:00+00:00,XAUUSD,SELL,2046.32,4.857716,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-61.55
2024-02-01T00:00:00+00:00,XAUUSD,BUY,2053.38,4.870018,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-02-14T00:00:00+00:00,XAUUSD,SELL,1989.93,4.870018,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-310.99
2024-02-29T00:00:00+00:00,XAUUSD,BUY,2046.08,4.887396,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-05-01T00:00:00+00:00,XAUUSD,SELL,2299.49,4.887396,Death cross: fast SMA crossed below slow SMA,raw,WIN,1236.42
2024-05-16T00:00:00+00:00,XAUUSD,BUY,2380.41,4.200952,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-06-03T00:00:00+00:00,XAUUSD,SELL,2346.19,4.200952,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-145.75
2024-07-05T00:00:00+00:00,XAUUSD,BUY,2388.91,4.186003,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-07-31T00:00:00+00:00,XAUUSD,SELL,2426.08,4.186003,Death cross: fast SMA crossed below slow SMA,raw,WIN,153.57
2024-08-09T00:00:00+00:00,XAUUSD,BUY,2432.52,4.110966,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-11-11T00:00:00+00:00,XAUUSD,SELL,2610.76,4.110966,Death cross: fast SMA crossed below slow SMA,raw,WIN,730.69
2024-12-03T00:00:00+00:00,XAUUSD,BUY,2645.14,3.780519,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2024-12-23T00:00:00+00:00,XAUUSD,SELL,2611.86,3.780519,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-127.79
2025-01-10T00:00:00+00:00,XAUUSD,BUY,2708.95,3.691473,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2025-03-06T00:00:00+00:00,XAUUSD,SELL,2916.13,3.691473,Death cross: fast SMA crossed below slow SMA,raw,WIN,762.75
2025-03-13T00:00:00+00:00,XAUUSD,BUY,2984.77,3.350338,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2025-05-12T00:00:00+00:00,XAUUSD,SELL,3219.50,3.350338,Death cross: fast SMA crossed below slow SMA,raw,WIN,784.34
2025-05-29T00:00:00+00:00,XAUUSD,BUY,3317.61,3.014221,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2025-06-30T00:00:00+00:00,XAUUSD,SELL,3293.90,3.014221,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-73.46
2025-07-18T00:00:00+00:00,XAUUSD,BUY,3353.51,2.98195,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2025-08-04T00:00:00+00:00,XAUUSD,SELL,3373.89,2.98195,Death cross: fast SMA crossed below slow SMA,raw,WIN,58.76
2025-08-11T00:00:00+00:00,XAUUSD,BUY,3353.61,2.981861,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2025-08-21T00:00:00+00:00,XAUUSD,SELL,3336.39,2.981861,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-53.34
2025-08-28T00:00:00+00:00,XAUUSD,BUY,3432.32,2.913483,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2025-10-31T00:00:00+00:00,XAUUSD,SELL,3981.63,2.913483,Death cross: fast SMA crossed below slow SMA,raw,WIN,1598.24
2025-11-17T00:00:00+00:00,XAUUSD,BUY,4068.88,2.457678,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2026-03-17T00:00:00+00:00,XAUUSD,SELL,5000.32,2.457678,Death cross: fast SMA crossed below slow SMA,raw,WIN,2286.96
2026-04-13T00:00:00+00:00,XAUUSD,BUY,4743.05,2.108348,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2026-04-29T00:00:00+00:00,XAUUSD,SELL,4544.57,2.108348,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-420.42
2026-05-18T00:00:00+00:00,XAUUSD,BUY,4553.13,2.196291,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2026-05-20T00:00:00+00:00,XAUUSD,SELL,4530.67,2.196291,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-51.32
2018-04-06T00:00:00+00:00,USDJPY,BUY,107.07,93.396662,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-06-01T00:00:00+00:00,USDJPY,SELL,108.73,93.396662,Death cross: fast SMA crossed below slow SMA,raw,WIN,154.07
2018-06-14T00:00:00+00:00,USDJPY,BUY,110.26,90.694293,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-08-01T00:00:00+00:00,USDJPY,SELL,111.79,90.694293,Death cross: fast SMA crossed below slow SMA,raw,WIN,137.65
2018-09-03T00:00:00+00:00,USDJPY,BUY,111.16,89.958304,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-10-17T00:00:00+00:00,USDJPY,SELL,112.32,89.958304,Death cross: fast SMA crossed below slow SMA,raw,WIN,103.41
2018-11-06T00:00:00+00:00,USDJPY,BUY,113.26,88.288662,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-11-26T00:00:00+00:00,USDJPY,SELL,112.90,88.288662,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-33.19
2018-12-04T00:00:00+00:00,USDJPY,BUY,113.61,88.023631,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2018-12-10T00:00:00+00:00,USDJPY,SELL,112.48,88.023631,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-99.81
2019-01-25T00:00:00+00:00,USDJPY,BUY,109.62,91.228008,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-03-22T00:00:00+00:00,USDJPY,SELL,110.79,91.228008,Death cross: fast SMA crossed below slow SMA,raw,WIN,105.91
2019-04-08T00:00:00+00:00,USDJPY,BUY,111.73,89.501741,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-05-03T00:00:00+00:00,USDJPY,SELL,111.48,89.501741,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-23.67
2019-07-09T00:00:00+00:00,USDJPY,BUY,108.74,91.96301,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
