bar_start_utc,open,high,low,close,tick_count
2026-08-04T09:10:00+00:00,1.34392,1.344075,1.34373,1.344,248
2026-08-04T09:15:00+00:00,1.343995,1.344065,1.34385,1.34406,155
2026-08-04T09:20:00+00:00,1.34405,1.344155,1.343905,1.34411,169
2026-08-04T09:25:00+00:00,1.34412,1.344285,1.34408,1.34421,280
2026-08-04T09:30:00+00:00,1.344205,1.34425,1.34397,1.34423,332
2026-08-04T09:35:00+00:00,1.34424,1.34424,1.34389,1.3439,298
2026-08-04T09:40:00+00:00,1.343905,1.34404,1.343895,1.343925,298
2026-08-04T09:45:00+00:00,1.34394,1.344265,1.343775,1.34418,511
2026-08-04T09:50:00+00:00,1.344175,1.34419,1.343865,1.343935,276
2026-08-04T09:55:00+00:00,1.34393,1.344185,1.34389,1.34417,361
2026-08-04T10:00:00+00:00,1.344175,1.344305,1.344055,1.344225,461
2026-08-04T10:05:00+00:00,1.34423,1.344465,1.34412,1.344265,385
2026-08-04T10:10:00+00:00,1.344255,1.344385,1.344245,1.344365,203
2026-08-04T10:15:00+00:00,1.34436,1.34436,1.34398,1.344015,184
2026-08-04T10:20:00+00:00,1.344,1.3442,1.343995,1.344115,233
2026-08-04T10:25:00+00:00,1.34412,1.344195,1.343935,1.343985,538
2026-08-04T10:30:00+00:00,1.343995,1.344135,1.34376,1.34381,472
2026-08-04T10:35:00+00:00,1.343815,1.34411,1.34378,1.343865,241
2026-08-04T10:40:00+00:00,1.34387,1.3447,1.3438,1.344405,360
2026-08-04T10:45:00+00:00,1.34441,1.34485,1.34438,1.34457,925
2026-08-04T10:50:00+00:00,1.344555,1.344555,1.34421,1.344385,398
2026-08-04T10:55:00+00:00,1.34438,1.344505,1.34424,1.344265,376
2026-08-04T11:00:00+00:00,1.344275,1.34435,1.344135,1.3442,326
2026-08-04T11:05:00+00:00,1.3442,1.34427,1.344045,1.3442,236
2026-08-04T11:10:00+00:00,1.34419,1.344475,1.34415,1.34439,167
2026-08-04T11:15:00+00:00,1.34438,1.34456,1.344365,1.344445,188
2026-08-04T11:20:00+00:00,1.34444,1.34479,1.34444,1.344655,439
2026-08-04T11:25:00+00:00,1.34466,1.344965,1.344635,1.344955,405
2026-08-04T11:30:00+00:00,1.34495,1.345335,1.34487,1.34512,439
2026-08-04T11:35:00+00:00,1.345125,1.34544,1.34503,1.3454,313
2026-08-04T11:40:00+00:00,1.345385,1.345485,1.34483,1.345215,674
2026-08-04T11:45:00+00:00,1.34522,1.34525,1.34457,1.344625,637
2026-08-04T11:50:00+00:00,1.34462,1.344905,1.34448,1.34454,495
2026-08-04T11:55:00+00:00,1.344515,1.345005,1.3445,1.344665,561
2026-08-04T12:00:00+00:00,1.34467,1.34493,1.344525,1.344575,568
2026-08-04T12:05:00+00:00,1.34458,1.344775,1.34446,1.344565,527
2026-08-04T12:10:00+00:00,1.34457,1.344825,1.34457,1.344635,334
2026-08-04T12:15:00+00:00,1.344645,1.34477,1.34452,1.344595,370
2026-08-04T12:20:00+00:00,1.34462,1.34481,1.344455,1.34479,319
2026-08-04T12:25:00+00:00,1.344795,1.344895,1.34451,1.344525,486
2026-08-04T12:30:00+00:00,1.344525,1.34517,1.344525,1.345115,291
2026-08-04T12:35:00+00:00,1.34511,1.345325,1.34508,1.345225,330
2026-08-04T12:40:00+00:00,1.345235,1.345415,1.345165,1.345245,316
2026-08-04T12:45:00+00:00,1.345255,1.345265,1.34486,1.344905,381
2026-08-04T12:50:00+00:00,1.3449,1.344985,1.34437,1.344375,422
2026-08-04T12:55:00+00:00,1.344365,1.34449,1.34418,1.344275,495
2026-08-04T13:00:00+00:00,1.34428,1.344405,1.34387,1.343975,487
2026-08-04T13:05:00+00:00,1.34397,1.34409,1.343895,1.34391,254
2026-08-04T13:10:00+00:00,1.343915,1.34423,1.343895,1.3442,267
2026-08-04T13:15:00+00:00,1.344205,1.344245,1.343785,1.34387,319
2026-08-04T13:20:00+00:00,1.343865,1.34509,1.343785,1.34469,1154
2026-08-04T13:25:00+00:00,1.344685,1.34481,1.344285,1.344285,587
2026-08-04T13:30:00+00:00,1.34429,1.344695,1.34426,1.34469,605
2026-08-04T13:35:00+00:00,1.344685,1.34489,1.344585,1.344875,513
2026-08-04T13:40:00+00:00,1.34491,1.34503,1.344775,1.34495,385
2026-08-04T13:45:00+00:00,1.344945,1.345225,1.34487,1.344975,328
2026-08-04T13:50:00+00:00,1.344985,1.34502,1.344585,1.344815,398
2026-08-04T13:55:00+00:00,1.34483,1.34491,1.3445,1.3447,342
2026-08-04T14:00:00+00:00,1.344705,1.345105,1.34461,1.345065,436
2026-08-04T14:05:00+00:00,1.34507,1.34552,1.344895,1.345285,382
2026-08-04T14:10:00+00:00,1.34528,1.345375,1.345105,1.345155,380
2026-08-04T14:15:00+00:00,1.345165,1.345555,1.345065,1.345085,472
2026-08-04T14:20:00+00:00,1.34509,1.345395,1.34499,1.34519,457
2026-08-04T14:25:00+00:00,1.345185,1.34531,1.34511,1.345155,333
2026-08-04T14:30:00+00:00,1.345145,1.345275,1.34498,1.345025,388
2026-08-04T14:35:00+00:00,1.345015,1.34539,1.344735,1.345085,550
2026-08-04T14:40:00+00:00,1.34508,1.345395,1.34503,1.345115,325
2026-08-04T14:45:00+00:00,1.34514,1.34514,1.344515,1.34471,404
2026-08-04T14:50:00+00:00,1.344735,1.345125,1.344605,1.34464,546
2026-08-04T14:55:00+00:00,1.344645,1.344765,1.344265,1.34473,492
2026-08-04T15:00:00+00:00,1.344725,1.344875,1.3445,1.34482,450
2026-08-04T15:05:00+00:00,1.344805,1.344875,1.344545,1.344585,307
2026-08-04T15:10:00+00:00,1.344595,1.344715,1.344395,1.344425,329
2026-08-04T15:15:00+00:00,1.344435,1.34446,1.344205,1.344245,391
2026-08-04T15:20:00+00:00,1.344245,1.344485,1.34422,1.344455,247
2026-08-04T15:25:00+00:00,1.344465,1.344645,1.344405,1.344605,269
2026-08-04T15:30:00+00:00,1.34459,1.344695,1.344425,1.34448,300
2026-08-04T15:35:00+00:00,1.344495,1.345115,1.344215,1.344875,406
2026-08-04T15:40:00+00:00,1.34489,1.34502,1.3448,1.344985,341
2026-08-04T15:45:00+00:00,1.34499,1.345215,1.344915,1.345035,317
2026-08-04T15:50:00+00:00,1.345055,1.34532,1.344995,1.345185,198
2026-08-04T15:55:00+00:00,1.345195,1.345535,1.345195,1.345405,168
2026-08-04T16:00:00+00:00,1.34542,1.345495,1.344995,1.34506,233
2026-08-04T16:05:00+00:00,1.34505,1.345095,1.344805,1.34507,175
2026-08-04T16:10:00+00:00,1.345085,1.345605,1.345085,1.34529,239
2026-08-04T16:15:00+00:00,1.34531,1.34533,1.344995,1.34526,281
2026-08-04T16:20:00+00:00,1.345235,1.345385,1.345045,1.345065,177
2026-08-04T16:25:00+00:00,1.345045,1.3453,1.345045,1.34512,170
2026-08-04T16:30:00+00:00,1.3451,1.345115,1.344915,1.344935,93
2026-08-04T16:35:00+00:00,1.34492,1.34498,1.34477,1.344775,104
2026-08-04T16:40:00+00:00,1.344785,1.34494,1.344695,1.34492,247
2026-08-04T16:45:00+00:00,1.344925,1.345045,1.344785,1.344865,191
2026-08-04T16:50:00+00:00,1.34487,1.34491,1.344615,1.344665,337
2026-08-04T16:55:00+00:00,1.34465,1.344705,1.34456,1.34462,400
2026-08-04T17:00:00+00:00,1.344625,1.34486,1.3446,1.34468,317
2026-08-04T17:05:00+00:00,1.344685,1.344765,1.34447,1.34447,183
2026-08-04T17:10:00+00:00,1.344465,1.344665,1.34441,1.34466,279
2026-08-04T17:15:00+00:00,1.34467,1.34468,1.34428,1.344385,280
2026-08-04T17:20:00+00:00,1.34437,1.344525,1.344275,1.34433,165
2026-08-04T17:25:00+00:00,1.344325,1.344375,1.344185,1.34422,198
2026-08-04T17:30:00+00:00,1.3442,1.344285,1.344095,1.344155,163
2026-08-04T17:35:00+00:00,1.34416,1.344345,1.34416,1.34433,74
2026-08-04T17:40:00+00:00,1.344335,1.344565,1.3443,1.344515,141
2026-08-04T17:45:00+00:00,1.344505,1.34455,1.344395,1.3445,106
2026-08-04T17:50:00+00:00,1.344515,1.34452,1.344385,1.34444,205
2026-08-04T17:55:00+00:00,1.344435,1.344555,1.344335,1.344335,181
2026-08-04T18:00:00+00:00,1.34434,1.344425,1.344185,1.34431,206
2026-08-04T18:05:00+00:00,1.344325,1.34444,1.34429,1.344305,543
2026-08-04T18:10:00+00:00,1.344295,1.344295,1.34409,1.344135,572
2026-08-04T18:15:00+00:00,1.34413,1.344205,1.34408,1.34415,324
2026-08-04T18:20:00+00:00,1.344145,1.34432,1.344095,1.344215,263
2026-08-04T18:25:00+00:00,1.344225,1.34423,1.344095,1.344125,110
2026-08-04T18:30:00+00:00,1.34414,1.34414,1.34398,1.34408,101
2026-08-04T18:35:00+00:00,1.344085,1.34419,1.344075,1.344185,134
2026-08-04T18:40:00+00:00,1.344175,1.34431,1.344085,1.3443,285
2026-08-04T18:45:00+00:00,1.3443,1.344405,1.3443,1.34439,146
2026-08-04T18:50:00+00:00,1.344385,1.34489,1.344385,1.3448,356
2026-08-04T18:55:00+00:00,1.344805,1.345285,1.34479,1.345135,234
2026-08-04T19:00:00+00:00,1.345155,1.34527,1.345095,1.345115,160
2026-08-04T19:05:00+00:00,1.34512,1.345395,1.3451,1.345325,97
2026-08-04T19:10:00+00:00,1.345375,1.34539,1.345035,1.345035,92
2026-08-04T19:15:00+00:00,1.34505,1.345125,1.344985,1.344985,74
2026-08-04T19:20:00+00:00,1.344995,1.34508,1.344915,1.344975,90
2026-08-04T19:25:00+00:00,1.34498,1.345135,1.34491,1.345115,152
2026-08-04T19:30:00+00:00,1.345125,1.345165,1.344905,1.344935,135
2026-08-04T19:35:00+00:00,1.344935,1.345125,1.34488,1.34511,118
2026-08-04T19:40:00+00:00,1.345095,1.34513,1.34501,1.34503,89
2026-08-04T19:45:00+00:00,1.345025,1.3451,1.344995,1.345025,129
2026-08-04T19:50:00+00:00,1.34505,1.34507,1.34488,1.34495,238
2026-08-04T19:55:00+00:00,1.344965,1.345125,1.34492,1.34503,491
2026-08-04T20:00:00+00:00,1.345025,1.34518,1.345015,1.345125,861
2026-08-04T20:05:00+00:00,1.34512,1.34522,1.345095,1.3452,855
2026-08-04T20:10:00+00:00,1.345195,1.34523,1.34517,1.345175,356
2026-08-04T20:15:00+00:00,1.34515,1.345295,1.345105,1.345215,307
2026-08-04T20:20:00+00:00,1.345235,1.3454,1.345235,1.34533,148
2026-08-04T20:25:00+00:00,1.345335,1.345425,1.345275,1.34528,248
2026-08-04T20:30:00+00:00,1.345275,1.345275,1.345175,1.345195,173
2026-08-04T20:35:00+00:00,1.3452,1.34521,1.345095,1.345095,112
2026-08-04T20:40:00+00:00,1.3451,1.34512,1.34508,1.345095,105
2026-08-04T20:45:00+00:00,1.34509,1.345195,1.345075,1.345195,127
2026-08-04T20:50:00+00:00,1.34519,1.345215,1.345085,1.345195,183
2026-08-04T20:55:00+00:00,1.34518,1.345465,1.34514,1.345145,413
2026-08-04T21:00:00+00:00,1.34514,1.34529,1.344925,1.34522,18
2026-08-04T21:05:00+00:00,1.345025,1.345025,1.344715,1.344845,56
2026-08-04T21:10:00+00:00,1.344825,1.34488,1.34475,1.344795,28
2026-08-04T21:15:00+00:00,1.3448,1.34547,1.34479,1.34542,115
2026-08-04T21:20:00+00:00,1.345415,1.345435,1.344795,1.34505,114
